facility_id,avg_midnight_before,convicted_rate_before,female_rate_before,active_days_before,avg_midnight_after,convicted_rate_after,female_rate_after,active_days_after
KRO,525.4572,0.6849,0.0,842.0,938.5783,0.4697,0.0001,415.0
KROHOLD,7.0579,0.4378,0.1333,833.0,71.3051,0.3152,0.0614,235.0
LACKAPA,,,,,,0.7,0.1,5.0
LAFAYLA,,,,,5.6557,0.2844,0.0,63.0
LAKCOFL,,,,,1.5182,0.3203,0.0443,145.0
LAPAZAZ,2.2366,0.8855,0.014,470.0,1.9907,0.5986,0.071,283.0
LARCOWY,,1.0,0.0,1.0,4.2788,0.2687,0.039,177.0
LARELKY,,,,,3.663,0.7569,0.0813,319.0
LASALTX,,,,,1.0,0.0,0.0,2.0
LASHOLD,1.0,0.1887,0.7483,151.0,1.0,0.3631,0.0825,84.0
LAWINCI,1313.114,0.1591,0.0,842.0,1562.0723,0.2701,0.0,415.0
LAWRESD,,,,,10.0435,0.1675,0.0,184.0
LBKHOLD,1.0,0.58,0.016,191.0,1.8571,0.2005,0.0536,257.0
LBRTYFL,,,,,1.0,0.3333,0.0,3.0
LEONCFL,,,,,,0.0,0.0,2.0
LEVYCFL,1.0,0.875,0.0938,16.0,1.0,0.0,0.0,8.0
LEXFCKY,,0.4932,0.097,73.0,,0.7024,0.1429,14.0
LEXINSC,2.6414,0.6841,0.0327,723.0,6.2067,0.413,0.2009,415.0
LICEPLA,,,,,175.9526,0.9069,0.0001,190.0
LIMCJTX,1.0,0.8,0.0,5.0,1.0,0.0,0.0,10.0
LIMESTX,42.2639,0.1582,0.0,632.0,148.8747,0.2496,0.0,415.0
LINCOMO,1.915,0.7629,0.0464,474.0,,,,
LINCONE,1.0,0.5116,0.0,43.0,29.4478,0.5764,0.1632,396.0
LINNJIA,13.044,0.873,0.0343,434.0,31.1738,0.5629,0.0849,329.0
LOGANOK,,,,,9.3084,0.2116,0.0828,246.0
LONPDAR,,,,,,0.0,0.0,1.0
LOSCJCA,,,,,1.0,0.0,0.0,3.0
LOSHOLD,1.4786,0.8217,0.1284,767.0,42.238,0.4748,0.1228,411.0
LOUCOVA,,,,,1.2245,0.3148,0.0387,99.0
LOUHOLD,1.0,0.4493,0.1616,46.0,1.5,0.3824,0.1158,178.0
LPAPSAZ,1.0,0.375,0.0,8.0,,0.625,0.0,8.0
LPD77CA,,,,,,0.0,0.0,1.0
LPLCCAZ,1.1281,0.9984,0.0,321.0,,0.5,0.0,2.0
LRAHOLD,,0.6774,0.0524,332.0,1.1613,0.3518,0.1107,373.0
LRDHOLD,3.3333,0.4902,0.1334,242.0,1.0808,0.0871,0.0758,232.0
LRDICDF,267.1235,0.0802,0.8211,842.0,355.9325,0.084,0.9855,415.0
LSFHOLD,,0.5,0.5,2.0,,0.25,0.25,4.0
LSRDCTX,,0.0,0.3333,3.0,203.6178,0.0999,0.012,382.0
LTVHOLD,,0.0,0.5,2.0,,,,
LUBBOTX,1.5745,0.6125,0.0283,259.0,3.7915,0.2684,0.0584,379.0
LVGHOLD,1.0,0.8082,0.0675,416.0,1.5172,0.3768,0.0578,390.0
LYNRJVA,,,,,1.5517,0.6492,0.0,60.0
MADISMS,3.7896,0.7472,0.0174,738.0,11.6169,0.2476,0.1159,409.0
MADISNY,,,,,,0.0,0.0,2.0
MAHONOH,,,,,92.6962,0.1852,0.2986,340.0
MANATFL,1.4151,0.452,0.065,177.0,1.7664,0.2719,0.0608,155.0
MANHOLD,1.0,0.7473,0.0323,124.0,1.2535,0.6255,0.0307,242.0
MARICOR,,,,,,0.0,0.0,1.0
MARIOFL,,,,,1.7183,0.4113,0.0777,181.0
MARIOIN,,,,,70.9282,0.3501,0.0002,367.0
MARTIFL,,,,,5.7277,0.3005,0.4816,229.0
MAVERTX,1.0,0.9153,0.0412,85.0,1.0,0.9091,0.1414,33.0
MCAHOLD,7.6233,0.3036,0.2904,606.0,3.8916,0.256,0.4095,415.0
MCCLETX,2.0193,0.7705,0.0581,351.0,1.8657,0.3519,0.259,117.0
MCHENIL,,1.0,0.0,1.0,,,,
MEDHOLD,,0.9,0.0,10.0,,0.4668,0.0656,26.0
MEMHOLD,2.5,0.542,0.0527,445.0,4.9388,0.2256,0.1069,396.0
MESJACO,,,,,,0.0,0.0,1.0
METROFL,,,,,11.1667,0.2598,0.1067,13.0
MEYTHCT,1.0,0.0,0.0,3.0,,,,
MGAHOLD,,,,,,0.1633,0.0995,35.0
MIAHOLD,,0.5193,0.1908,135.0,18.2189,0.3004,0.1174,389.0
MIDLATX,1.2312,0.6411,0.0501,249.0,1.7636,0.3313,0.1314,252.0
MILHOLD,,0.7653,0.0177,245.0,1.4783,0.5248,0.1197,261.0
MILLRAR,1.4815,0.8007,0.0528,267.0,4.7938,0.4429,0.0529,381.0
MINICID,2.9071,0.9396,0.0112,625.0,3.3894,0.6769,0.0181,245.0
MINNESD,1.2432,0.7746,0.0,71.0,5.2736,0.3174,0.0442,344.0
MLDHOLD,,0.5338,0.0611,354.0,2.4286,0.3503,0.133,326.0
MLJHOLD,1.1692,0.7474,0.0363,581.0,1.4571,0.3705,0.0586,404.0
MNROEMI,1.0,0.0,0.0,2.0,2.5,0.1429,0.0,6.0
MNTGMAL,,1.0,0.0,1.0,,,,
MOAHOLD,1.0,0.4141,0.0321,92.0,1.625,0.2104,0.0732,359.0
MOFFECO,1.2,0.8824,0.0,17.0,,,,
MONMONJ,,,,,,0.0,0.0,1.0
MONROFL,1.0,0.25,0.5,4.0,1.6379,0.2509,0.1527,113.0
MONROMI,46.6801,0.202,0.0,649.0,124.6627,0.1406,0.0,415.0
MONTGAL,1.0,0.0039,0.0,129.0,1.0,0.0,0.0,27.0
MONTGNY,,,,,4.463,0.1877,0.0411,325.0
MONTGTX,1.0,0.8462,0.0,13.0,,0.0,0.0,1.0
MPSIPAN,3.7604,0.9684,0.1438,815.0,15.0916,0.3292,0.1377,415.0
MRCDSTX,,0.0,1.0,1.0,,,,
MRREGVA,,1.0,0.0,3.0,,,,
MSF,1.5845,0.7472,0.0366,378.0,18.7511,0.2988,0.1759,358.0
MSVPCPA,1058.3349,0.6133,0.036,842.0,1523.0723,0.3876,0.0308,415.0
MTGHOLD,9.0922,0.6393,0.0769,842.0,24.4058,0.3817,0.1122,415.0
MTGPCTX,1073.7696,0.607,0.0899,842.0,1177.547,0.4189,0.1631,415.0
MUSCAIA,,,,,20.7602,0.5672,0.0804,342.0
NASSAFL,1.0,0.5,0.3333,24.0,1.0,0.75,0.0,4.0
NASSANY,,0.9259,0.0889,45.0,18.8257,0.2545,0.0001,374.0
NASTRNY,,,,,1.7193,0.3943,0.0757,221.0
NATJVWY,,,,,,0.0,0.0,1.0
NATROWY,1.3077,0.7333,0.042,234.0,14.104,0.2694,0.0454,363.0
NBGHOLD,,0.9415,0.0326,238.0,1.8542,0.4997,0.022,319.0
NEMCCOI,,,,,120.6719,0.5959,0.0,128.0
NEWHOLD,1.0365,0.1145,0.757,404.0,1.0208,0.4472,0.3697,146.0
NIAGANY,,,,,7.7815,0.0438,0.9962,327.0
NLSCOLA,,,,,4.1215,0.2633,0.002,254.0
NNREGVA,1.0,1.0,0.0,2.0,,,,
NOBLEMN,1.0,0.0,0.0,8.0,,,,
NOLHOLD,1.0,0.144,0.4697,81.0,2.1111,0.1033,0.4244,130.0
NORFOVA,,0.0,0.0,1.0,1.0,0.0,0.3333,6.0
NORHOLD,,0.8038,0.0552,172.0,1.3333,0.2992,0.0333,355.0
NRJDCVA,1.92,0.1472,0.0,282.0,3.4988,0.1315,0.0,415.0
NRLKCMI,,,,,1040.9664,0.1537,0.0544,268.0
NRPHOLD,,,,,,0.641,0.1252,5.0
NSVHOLD,,,,,1.2992,0.2359,0.0937,269.0
NVSDCNV,173.2898,0.6189,0.0001,842.0,421.7494,0.5572,0.0001,415.0
NWHNVNC,1.7326,0.7506,0.0112,553.0,3.5879,0.5021,0.0185,390.0
NWRCCMN,1.7519,0.501,0.0616,192.0,11.3545,0.198,0.1521,339.0
NWREGVA,1.2857,0.9062,0.0,16.0,1.2414,0.5674,0.0958,87.0
NYCHOLD,1.7176,0.1823,0.3603,651.0,27.9786,0.2957,0.1523,411.0
NYEPANV,66.8407,0.8773,0.0,767.0,,,,
NYFISHC,,0.0,0.4,5.0,,,,
NYGREAC,,0.0,1.0,1.0,,0.0,0.0,1.0
NYGROVC,,0.0,1.0,2.0,,,,
NYLIVIC,,0.0,0.0,1.0,,1.0,0.5,1.0
NYMARCC,,0.0,0.6667,3.0,,,,
NYMDSTC,,0.0,0.0,2.0,,,,
NYWASHC,,,,,,1.0,1.0,1.0
OAK,,,,,,0.0,1.0,1.0
OAKHOLD,1.0,0.2617,0.2222,27.0,1.1481,0.5464,0.055,88.0
OCIRCCA,,,,,,1.0,1.0,1.0
OGUHOLD,1.0,0.634,0.0456,263.0,2.125,0.6218,0.0311,239.0
OHNORWE,,,,,71.1284,0.1864,0.3935,366.0
OKCHOLD,1.0489,0.7911,0.0177,770.0,3.8987,0.2841,0.0589,389.0
OKCIMMC,,,,,408.0777,0.2814,0.0,373.0
OKDBACK,,,,,553.7536,0.2316,0.2172,69.0
OKMULOK,,0.0,0.0,1.0,,0.3333,0.3333,3.0
OLACCLA,1.0,1.0,0.0,8.0,1.0,0.0,0.0,10.0
OLDHAKY,1.8667,0.7015,0.0209,432.0,104.9561,0.4947,0.0165,413.0
OMAHOLD,1.0,0.8733,0.0419,84.0,6.9828,0.6325,0.0551,218.0
ONSLONC,,,,,2.8095,0.3155,0.0339,59.0
ORANGFL,3.153,0.5434,0.0974,721.0,43.547,0.2696,0.2101,415.0
ORANGNY,68.1971,0.6722,0.0249,842.0,148.8434,0.6076,0.0018,415.0
ORLHOLD,1.45,0.633,0.1246,523.0,4.4592,0.2725,0.1679,413.0
OSCEOFL,,,,,3.641,0.2725,0.0401,405.0
OTERONM,1.0642,0.0,0.0,112.0,,,,
OTRPCNM,724.4311,0.083,0.2077,842.0,885.9494,0.2267,0.1575,415.0
OZARKMO,,,,,16.6393,0.5038,0.0027,325.0
PALMBFL,,1.0,0.0,1.0,1.0577,0.9473,0.0,58.0
PBDPDMA,2.0,1.0,0.0,2.0,,,,
PCKNSAL,21.791,0.6341,0.1284,842.0,44.247,0.3091,0.1202,415.0
PCSHOLD,1.0,0.9659,0.0199,829.0,2.0,0.6923,0.125,181.0
PDNHOLD,,0.5,0.0,2.0,,0.5278,0.0278,1.0
PENNISD,1.1064,0.7225,0.0588,170.0,4.2,0.3002,0.0238,384.0
PHELPMO,,,,,29.479,0.3078,0.1141,357.0
PHELPNE,11.8931,0.8003,0.0284,760.0,29.2048,0.7293,0.0818,415.0
PHIHOLD,1.0448,0.6319,0.0619,484.0,2.6854,0.2238,0.0284,396.0
PHOHOLD,11.1128,0.3004,0.1875,842.0,19.5759,0.3064,0.1194,415.0
PIC,899.6888,0.1267,0.0079,842.0,1169.0988,0.1704,0.0112,415.0
PIERCND,1.3333,0.6111,0.2037,18.0,1.0,0.0,0.0,7.0
PIKCOPA,120.5392,0.5397,0.0,842.0,207.441,0.3809,0.0,415.0
PIMAJAZ,,0.6667,0.3333,3.0,,,,
PINALAZ,,1.0,0.0,1.0,,0.25,0.25,4.0
PINELFL,3.9256,0.5719,0.0443,798.0,26.9082,0.3251,0.1388,415.0
PINEPLA,447.3044,0.3082,0.0,842.0,860.6578,0.3196,0.0002,415.0
PITHOLD,1.0,0.4114,0.1433,126.0,5.0667,0.1922,0.031,330.0
PKEHOLD,1.0,0.711,0.0073,205.0,1.0,0.4584,0.0218,324.0
PLATTMO,,,,,,1.0,0.0,1.0
PLATTWY,1.5724,0.6846,0.0157,424.0,3.0399,0.4865,0.0425,336.0
PLYMOMA,190.7945,0.3856,0.0,842.0,466.4024,0.3127,0.0002,415.0
PMREGVA,,1.0,0.0,1.0,,,,
POLKCTX,662.5713,0.016,0.0,842.0,823.812,0.2818,0.0,415.0
POLKJFL,,,,,11.5,0.0455,0.0,4.0
POLKJIA,25.5523,0.8602,0.0246,842.0,49.7687,0.6554,0.0464,415.0
POMHOLD,1.0,0.2951,0.0694,48.0,1.0,0.3118,0.0233,93.0
POOHOLD,2.1538,0.7561,0.0281,309.0,1.3433,0.4823,0.1395,350.0
POTTAIA,27.0653,0.9365,0.0068,842.0,33.5759,0.7678,0.0603,415.0
POTTRTX,,,,,1.0,0.0,0.2,5.0
PRLDCTX,555.1532,0.5392,0.075,842.0,922.8988,0.3015,0.1127,415.0
PRLHOLD,2.5769,0.5925,0.0422,64.0,14.7,0.3218,0.1627,95.0
PROHOLD,1.0,0.5858,0.1383,117.0,1.0815,0.3873,0.057,362.0
PRUHOLD,,0.8851,0.0785,87.0,3.0,0.6279,0.0623,283.0
PUEBLCO,,1.0,0.0,1.0,,1.0,0.0,1.0
PUEHOLD,4.0,0.9327,0.0127,275.0,1.1698,0.5816,0.033,196.0
PUTMAFL,1.1429,0.7949,0.0385,13.0,,0.0,0.0,1.0
PUTNMTN,,,,,16.5227,0.517,0.0004,324.0
PWILLVA,,1.0,1.0,1.0,,0.3,0.15,10.0
RAADCMN,,,,,,0.0,0.0,1.0
RADDFGA,2.9726,0.6741,0.0,769.0,12.8484,0.6167,0.0053,358.0
RAPPSVA,1.6364,0.7738,0.0,49.0,2.4331,0.3895,0.1071,292.0
RCMHOLD,1.4286,0.8326,0.0067,493.0,3.8444,0.4244,0.034,385.0
RDUHOLD,1.0,0.8714,0.0101,567.0,2.8065,0.5464,0.0615,378.0
REDHOLD,1.0,0.864,0.0088,38.0,1.7451,0.5931,0.0533,155.0
RENHOLD,1.0,0.9521,0.0131,206.0,1.0,0.622,0.05,22.0
RGRNDTX,426.5107,0.1109,0.0,842.0,621.9253,0.1014,0.0002,415.0
RGS,1.0,0.1053,0.6842,19.0,3.0,0.031,0.5762,111.0
RICHOLD,1.0,0.9231,0.0,39.0,,0.6007,0.1346,91.0
RIIHOLD,,0.9978,0.0044,225.0,4.0,0.9929,0.0,164.0
RMKHOLD,,0.7623,0.023,190.0,5.0,0.546,0.003,194.0
RNDLLTX,2.159,0.747,0.0184,439.0,3.2222,0.2995,0.0357,68.0
ROCKIIL,,,,,,1.0,0.0,1.0
ROCKIVA,1.2559,0.9018,0.0254,302.0,2.087,0.7071,0.0715,312.0
RONKEVA,1.4118,0.6304,0.0,127.0,2.2255,0.4445,0.0204,263.0
RPCHOLD,,,,,1.0,0.3284,0.0246,122.0
RSREGVA,,,,,70.6626,0.2471,0.0919,266.0
RSWHOLD,1.25,0.5786,0.0729,142.0,1.6129,0.2015,0.1409,341.0
RVRCCLA,416.1473,0.0222,0.0001,842.0,552.988,0.0864,0.0,415.0
RWCCMLA,640.0594,0.0168,0.7491,842.0,1018.2024,0.1268,0.7009,415.0
SAAHOLD,1.0385,0.8074,0.0879,331.0,43.7273,0.5216,0.1075,349.0
SACHOLD,1.0086,0.9644,0.0118,526.0,2.2462,0.7034,0.0225,369.0
SACITCA,1.0,1.0,0.0,2.0,1.0,0.6,0.2,5.0
SAGHOLD,6.0,0.8928,0.0394,392.0,1.4419,0.5596,0.0678,293.0
SAIHOLD,,0.6,0.2,10.0,,0.0,0.3333,6.0
SAJHOLD,1.1111,0.3181,0.0812,156.0,16.3243,0.4217,0.0718,169.0
SALEMNJ,,,,,1.0,0.0,0.0,17.0
SALHOLD,1.5,0.757,0.0707,280.0,1.7308,0.3911,0.0935,352.0
SALINNE,1.0,1.0,0.0,4.0,7.0,0.7143,0.0,2.0
SARASFL,1.2055,0.4078,0.0763,131.0,1.9677,0.2205,0.0537,333.0
SARPYNE,,,,,16.7226,0.7966,0.0574,310.0
SAUKCWI,,,,,9.7359,0.4219,0.0009,291.0
SAVHOLD,,,,,1.5588,0.1965,0.0288,84.0
SBDHOLD,1.2,0.9011,0.0754,445.0,1.5833,0.4926,0.091,369.0
SBERNCA,,,,,,0.0,0.0,1.0
SCOTTIA,,,,,2.5622,0.9669,0.0012,268.0
SCOTTNE,1.0,1.0,0.0,7.0,1.1053,0.8929,0.0,28.0
SEAHOLD,1.2857,0.6402,0.2168,484.0,2.5276,0.3209,0.225,380.0
SEBASAR,1.5758,0.7667,0.0144,344.0,2.5808,0.5057,0.074,356.0
SENECOH,59.8694,0.7204,0.0656,842.0,57.3349,0.2864,0.0725,415.0
SFDHOLD,,0.4952,0.0143,70.0,10.5,0.3976,0.0547,100.0
SFRHOLD,1.0513,0.8412,0.1949,416.0,7.5263,0.3686,0.1419,275.0
SGUHOLD,,0.8652,0.0848,110.0,1.0,0.5382,0.0647,99.0
SHERBMN,1.9264,0.998,0.0038,830.0,87.4699,0.4295,0.0514,415.0
SIOUXIA,,,,,11.587,0.5446,0.0203,184.0
SJS,5.1413,0.0454,0.0793,842.0,16.9181,0.2013,0.0745,415.0
SJUHOLD,,0.5025,0.0825,322.0,1.25,0.1813,0.1453,200.0
SLCHOLD,1.3421,0.7419,0.068,446.0,6.1268,0.5015,0.0679,388.0
SLRDCAZ,78.5353,0.1371,0.318,836.0,310.9951,0.2217,0.196,411.0
SLSLCUT,4.9682,0.7908,0.0474,811.0,6.1029,0.5307,0.0894,375.0
SMAHOLD,1.0,0.9977,0.0019,174.0,1.0,0.851,0.0275,331.0
SMARYMD,,,,,1.0,1.0,0.0,2.0
SMNOLFL,,,,,1.3081,0.7407,0.0221,381.0
SMRVLTX,,0.0,0.0,1.0,1.0,0.0,0.0,2.0
SNAHOLD,1.7104,0.6523,0.0437,804.0,9.5836,0.2527,0.1475,410.0
SNDHOLD,1.4774,0.1213,0.2901,842.0,9.0744,0.4059,0.1106,415.0
SNJHOLD,,0.0909,0.4848,11.0,,0.0,0.0,1.0
SOBAYCA,1.0,0.0,0.0,49.0,,,,
SPGHOLD,1.1429,0.9062,0.0156,64.0,8.8889,0.2913,0.1471,79.0
SPMHOLD,1.0,0.677,0.1094,474.0,26.5278,0.3686,0.0824,382.0
SPOHOLD,1.0,0.3026,0.0124,313.0,1.2647,0.246,0.0444,210.0
SROSAFL,,,,,,1.0,0.0,1.0
STAHOLD,3.8333,0.1786,0.1897,65.0,1.9655,0.0889,0.5867,60.0
STCDFTX,1466.3349,0.1951,0.005,842.0,1690.3831,0.3348,0.0572,415.0
STCHRLA,,,,,,0.6667,0.0,3.0
STCLAMI,61.2827,0.4111,0.0001,842.0,56.8964,0.3038,0.0,415.0
STDHOLD,4.9091,0.4409,0.0645,31.0,6.8448,0.3033,0.1256,288.0
STFRCTX,1042.2969,0.0032,0.9508,842.0,391.8964,0.0083,0.6667,415.0
STGENMO,,,,,94.3646,0.3165,0.087,373.0
STJONFL,1.1045,0.5093,0.0561,107.0,2.6316,0.1736,0.0303,33.0
STK,1.5,0.9824,0.0046,289.0,2.7568,0.5893,0.0606,334.0
STLHOLD,1.0,0.7047,0.0624,82.0,3.72,0.3502,0.0828,393.0
STLUCFL,,,,,1.9726,0.8263,0.0,82.0
STRAFNH,69.5297,0.5789,0.0932,842.0,128.2361,0.3708,0.1333,415.0
STTAMLA,1.0,1.0,0.0,2.0,,,,
STTCJVI,,0.0,0.0,1.0,,,,
STUHOLD,1.4121,0.2025,0.0108,663.0,2.6601,0.2182,0.0727,414.0
STWRTGA,1371.4786,0.4515,0.1207,842.0,2004.8482,0.3906,0.1334,415.0
SUMMIUT,1.0,1.0,0.0,6.0,1.0,0.3333,0.0,6.0
SUMTEFL,,,,,1.5962,0.2375,0.0673,140.0
SUWANFL,,,,,,0.0,0.0,1.0
SWEETWY,1.5686,0.7435,0.0384,293.0,8.7778,0.5294,0.0614,365.0
SXCHOLD,,0.8043,0.0326,92.0,,0.7,0.0,10.0
SYRHOLD,,,,,1.9615,0.2489,0.0676,215.0
TALHOLD,1.1111,0.6763,0.046,369.0,3.0546,0.3445,0.0351,371.0
TALLAMS,,,,,1.0,0.8421,0.0526,19.0
TAMHOLD,1.1286,0.5772,0.0748,555.0,2.0252,0.3581,0.0938,414.0
TAYLOTX,,,,,1.0,0.3333,0.0,6.0
TBRJLME,,,,,14.8839,0.3938,0.0,337.0
TELLECO,5.1883,0.847,0.0025,270.0,1.0,0.6,0.0,10.0
TFALLID,1.0,1.0,0.0,27.0,,,,
TFIHOLD,1.0,0.9018,0.0179,84.0,3.6667,0.7117,0.0475,100.0
TGKJLFL,,,,,8.8554,0.2031,0.1405,266.0
TGREETX,1.0,0.8667,1.0,15.0,2.7571,0.258,0.1601,324.0
TITUSTX,1.1096,0.952,0.0293,125.0,1.623,0.4541,0.0256,159.0
TNWESDF,,0.25,0.0,2.0,282.6089,0.2007,0.0203,181.0
TOOELUT,1.0,0.8101,0.0823,79.0,8.901,0.5444,0.0928,313.0
TOOLEMT,1.0,0.4167,0.0,12.0,,,,
TOORANM,275.0451,0.0538,0.0001,842.0,433.3855,0.1407,0.0001,415.0
TUCHOLD,1.2424,0.7661,0.0518,628.0,2.9,0.515,0.0669,356.0
TULCOOK,4.1893,0.6783,0.0263,838.0,64.7855,0.2819,0.0834,415.0
TULHOLD,1.0,0.6767,0.0421,356.0,3.7143,0.2922,0.0835,264.0
TXAHOLD,,0.7793,0.0679,108.0,,0.5453,0.0453,197.0
UCBPMCA,,,,,2.5,0.005,0.6408,67.0
UHOSPIN,1.0,0.7,0.0,10.0,1.0,1.0,0.0,12.0
UINTAWY,,,,,21.3741,0.4594,0.0575,279.0
UNIONSD,1.0714,1.0,0.0,19.0,4.5385,0.3509,0.1224,49.0
URSLATX,,,,,146.2222,0.2299,0.1356,90.0
USMWDLA,,0.5,0.5,1.0,,,,
UTAHCUT,,,,,,1.0,0.0,1.0
UVALDTX,1.0,0.8929,0.0952,42.0,1.0,0.8333,0.1,15.0
VALVETX,1.4096,0.9294,0.2649,389.0,3.9343,0.9471,0.2237,342.0
VENHOLD,1.2857,0.9938,0.0168,542.0,6.5,0.7127,0.0581,368.0
VENTUCA,,,,,,1.0,0.0,1.0
VICTOTX,,,,,3.2632,0.235,0.0747,48.0
VIRBEVA,1.0,0.0,0.875,16.0,1.3,0.4474,0.1053,19.0
VPREGVA,,1.0,0.0,1.0,,0.0,0.0,1.0
VRK,,0.0,0.0,1.0,4.8182,0.2318,0.0154,103.0
VTCHTDN,2.363,0.0344,1.0,503.0,5.01,0.0785,1.0,406.0
VTDCORR,,,,,,0.0,1.0,2.0
VTSTALB,5.0564,0.0939,0.002,774.0,10.922,0.1456,0.0011,412.0
VVSHOLD,,0.5311,0.0398,240.0,1.9444,0.352,0.0527,258.0
WAJAIMN,1.2197,0.5864,0.0289,226.0,1.5,0.8833,0.0,15.0
WAKULFL,,,,,1.0,0.0,0.0,4.0
WALTNFL,,,,,,0.5,0.0,2.0
WARDCND,1.0847,0.7841,0.0227,88.0,2.305,0.2804,0.0783,309.0
WASHCUT,5.3333,0.9012,0.0522,204.0,11.4342,0.4925,0.0349,283.0
WASHIAR,3.1024,0.6642,0.0443,610.0,5.6405,0.3596,0.0662,412.0
WASHIMD,,,,,1.0,0.2,0.0,10.0
WASHOLD,1.3243,0.5582,0.048,647.0,9.561,0.2793,0.0559,412.0
WASHONV,10.9287,0.9328,0.028,842.0,30.4819,0.6249,0.0561,415.0
WAUKEWI,1.1364,0.7344,0.2188,32.0,3.9868,0.4246,0.1671,346.0
WCCPBFL,556.88,0.2456,0.1478,842.0,639.4289,0.1649,0.1524,415.0
WCTHOLD,2.2381,0.7195,0.0454,403.0,1.0,0.5304,0.0693,284.0
WEBCOTX,,,,,,0.0,0.0,1.0
WEBDCTX,211.1235,0.246,0.1724,842.0,428.9663,0.1563,0.0337,415.0
WEBERUT,,,,,7.0,0.5365,0.0598,163.0
WESHOLD,,0.8,0.2,5.0,1.0,0.4762,0.0238,21.0
WHITFGA,1.5116,0.6592,0.0473,67.0,,,,
WICHOLD,1.0,0.4167,0.0152,33.0,1.0,0.3214,0.25,14.0
WILSOTX,,,,,3.4,0.1131,0.7143,7.0
WLTSOFL,,,,,21.9487,0.2713,0.0,355.0
WMLNDPA,,,,,,0.0,0.0,1.0
WNTHOLD,,0.6754,0.0673,57.0,2.0,0.3957,0.1486,70.0
WOODBIA,1.1,1.0,0.0,29.0,56.4324,0.5514,0.0895,373.0
WOODFKY,,,,,1.4706,0.8148,0.0556,27.0
WORCEMD,,0.0,0.0,1.0,,0.0,0.0,1.0
WPOHOLD,,0.5556,0.0556,9.0,1.0,0.1789,0.0999,116.0
WVEASTR,1.1944,0.8115,0.1475,61.0,8.1613,0.2002,0.0522,286.0
WVIRGVA,1.4877,0.8116,0.0155,351.0,3.9658,0.5212,0.0338,314.0
WVNCENT,,,,,7.881,0.0218,0.0989,44.0
WVNORTH,1.0312,0.3585,0.0,53.0,22.0423,0.1909,0.0912,348.0
WVPTMAC,,,,,5.1429,0.0996,0.0,17.0
WVSCENT,3.3433,0.962,0.0,780.0,24.5229,0.3202,0.0407,415.0
WVSOUTH,,,,,6.5833,0.0086,0.015,28.0
WVSWEST,,,,,9.8649,0.1196,0.0543,38.0
WVWESTR,,,,,32.381,0.1463,0.1499,64.0
WYATTRI,65.2233,0.2786,0.01,842.0,108.5277,0.4191,0.0151,415.0
YAKHOLD,,0.827,0.0121,131.0,1.1379,0.4546,0.1156,269.0
YELLOMT,1.0588,0.9333,0.0,30.0,,,,
YORCOPA,1.0,0.0,0.0,842.0,1.0,0.0,0.0,264.0
YORCOSC,1.2857,0.8853,0.0,125.0,1.7692,0.5137,0.1233,73.0
YRKHOLD,2.1905,0.7317,0.0241,380.0,1.5,0.3649,0.0301,392.0
YUBAJCA,2.8,1.0,0.0,96.0,,,,
YUMHOLD,1.0,0.7912,0.0238,284.0,1.0,0.6264,0.106,222.0
ZAVCOTX,,1.0,0.0,1.0,,,,
